 10,0.000007,22,34
 20,0.000009,64,88
 30,0.000011,108,148
 40,0.000013,165,216
 50,0.000015,219,286
 60,0.000017,278,356
 70,0.000024,344,432
 80,0.000033,412,512
 90,0.000036,471,592
 100,0.000036,530,672
 200,0.000053,1272,1544
 300,0.000084,2075,2488
 400,0.000110,2892,3488
 500,0.000138,3785,4488
 600,0.000183,4698,5576
 700,0.000175,5611,6676
 800,0.000227,6544,7776
 900,0.000201,7498,8876
 1000,0.000224,8505,9976
 2000,0.000535,18931,21952
 3000,0.000950,30120,34904
 4000,0.000909,41787,47904
 5000,0.000928,53737,61808
 6000,0.001068,65820,75808
 7000,0.001256,78272,89808
 8000,0.001437,91050,103808
 9000,0.001738,103838,118616
 10000,0.001945,116777,133616
 20000,0.005620,253106,287232
 30000,0.006392,395919,447232
 40000,0.006758,543463,614464
 50000,0.007972,694614,784464
 60000,0.009616,849593,954464
 70000,0.011431,1005816,1128928
 80000,0.013991,1164079,1308928
 90000,0.014866,1324681,1488928
 100000,0.016835,1485387,1668928
 200000,0.037479,3162085,3537856
 300000,0.053831,4911429,5475712
 400000,0.075129,6704964,7475712
 500000,0.091221,8534440,9475712
 600000,0.110362,10392591,11551424
 700000,0.133232,12273778,13651424
 800000,0.150414,14172951,15751424
 900000,0.169726,16090845,17851424
 1000000,0.192657,18022771,19951424
