 10,0.000004,45,4
 20,0.000008,190,17
 30,0.000011,435,23
 40,0.000015,780,31
 50,0.000019,1225,42
 60,0.000023,1770,50
 70,0.000028,2415,61
 80,0.000038,3160,73
 90,0.000049,4005,74
 100,0.000057,4950,89
 200,0.000178,19900,182
 300,0.000405,44850,274
 400,0.000837,79800,367
 500,0.001206,124750,467
 600,0.001614,179700,551
 700,0.001679,244650,635
 800,0.001559,319600,704
 900,0.001857,404550,809
 1000,0.001955,499500,905
 2000,0.010881,1999000,1806
 3000,0.012566,4498500,2710
 4000,0.022566,7998000,3646
 5000,0.034200,12497500,4542
 6000,0.050221,17997000,5471
 7000,0.068333,24496500,6394
 8000,0.088926,31996000,7261
 9000,0.111826,40495500,8166
 10000,0.136979,49995000,9103
 20000,0.544785,199990000,18082
 30000,1.216030,449985000,27409
 40000,2.169250,799980000,36316
 50000,3.372958,1249975000,45420
 60000,4.851808,1799970000,54513
 70000,6.603551,2449965000,63518
 80000,8.621573,3199960000,72682
 90000,10.969235,4049955000,81778
 100000,13.553879,4999950000,90849
 200000,55.195698,19999900000,181869
 300000,124.399165,44999850000,272820
 400000,220.876841,79999800000,363239
 500000,345.334700,124999750000,455066
 600000,497.419292,179999700000,545661
 700000,677.515031,244999650000,636418
 800000,884.561112,319999600000,727243
 900000,1118.895003,404999550000,818081
 1000000,1382.559991,499999500000,909222
